# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    2     12     59      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      1 
    3     10     54      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      2 
    0     16     56      -      0      0      0      0      0      0    405    180      0      0  89162  89163      0      -      -      0      0      2 
    1     16     56      -      0      0      0      0      0      0    405    180      0      0  89164  89165      0      -      -      0      0      0 
    2     11     57      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    3     10     53      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     79     58      -      0      0      0      0      0      0  13365   2272      0      0  89162  89163      0      -      -      0      0      1 
    1     72     57      -      0      0      0      0      0      0  13365   2272      0      0  89164  89165      0      -      -      0      0      2 
    2     68     59      -      0      0      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      0 
    3     72     55      -      0      0      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      0 
    0    190     61      -    100     20      0      0      0      0  13365   2160      0      0  89162  89163      0      -      -      0  13320  18752 
    1    180     61      -    100     19      0      0      0      0  13365   2137      1      0  89164  89165      0      -      -      0  13510  17968 
    2    180     64      -    100     19      0      0      0      0  13365   2152      0      0  89166  89167      0      -      -      0  13699  14821 
    3    175     58      -    100     18      0      0      0      0  13365   2152      0      0  89166  89167      0      -      -      0  13118  17337 
    0     82     60      -      0      0      0      0      0      0  13365   2272      0      0  89162  89163      0      -      -      0      0      0 
    1     73     60      -      0      0      0      0      0      0  13365   2272      0      0  89164  89165      0      -      -      0      0      0 
    2     70     61      -      0      0      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      0 
    3     73     57      -      0      0      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      0 
    0     82     60      -      0      0      0      0      0      0  13365   2272      0      0  89162  89163      0      -      -      0      0      0 
    1     73     60      -      0      0      0      0      0      0  13365   2272      0      0  89164  89165      0      -      -      0      0      0 
    2     70     61      -      0      0      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      0 
    3     73     57      -      0      0      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      2 
    0    108     62      -     98     35      0      0      0      0  13365   2227      0      0  89162  89163      0      -      -      0    731    504 
    1    174     62      -     98     42      0      0      0      0  13365   2257      0      0  89164  89165      0      -      -      0    908    517 
    2    179     63      -     98     41      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0    739    485 
    3    181     59      -     98     40      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0    856    490 
    0    215     67      -     98     36      0      0      0      0  13365   2280      0      0  89162  89163      0      -      -      0    806    506 
    1    198     66      -     98     42      0      0      0      0  13365   2272      0      0  89164  89165      0      -      -      0   1003    522 
    2    200     67      -     98     41      0      0      0      0  13365   2280      0      0  89166  89167      0      -      -      0    721    487 
    3    195     63      -     98     40      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0    807    504 
    0    213     70      -     98     35      0      0      0      0  13365   2272      0      0  89162  89163      0      -      -      0   1068    787 
    1    197     69      -     98     42      0      0      0      0  13365   2257      0      0  89164  89165      0      -      -      0   1443    846 
    2    196     70      -     99     40      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0   1015    753 
    3    195     66      -     99     40      0      0      0      0  13365   2265      0      0  89166  89167      0      -      -      0   1275    825 
    0    216     73      -     98     35      0      0      0      0  13365   2175      0      0  89162  89163      0      -      -      0   1110    778 
    1    201     72      -     98     40      0      0      0      0  13365   2182      0      0  89164  89165      0      -      -      0   1458    823 
    2    203     73      -     99     19      0      0      0      0  13365   2175      0      0  89166  89167      0      -      -      0   1121    799 
    3    199     69      -     99     18      0      0      0      0  13365   2235      0      0  89166  89167      0      -      -      0   1351    816 
    0    228     75      -     98     35      0      0      0      0  13365   2287      0      0  89162  89163      0      -      -      0    834    501 
    1    208     74      -     98     43      0      0      0      0  13365   2265      0      0  89164  89165      0      -      -      0    939    530 
    2    212     75      -     98     42      0      0      0      0  13365   2280      0      0  89166  89167      0      -      -      0    734    480 
    3    206     71      -     98     41      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0    864    513 
    0    190     77      -     98     35      0      0      0      0  13365   2287      0      0  89162  89163      0      -      -      0    755    503 
    1    185     75      -     98     42      0      0      0      0  13365   2257      0      0  89164  89165      0      -      -      0    987    525 
    2    189     77      -     98     41      0      0      0      0  13365   2280      0      0  89166  89167      0      -      -      0    739    502 
    3    174     73      -      0      0      0      0      0      0  13365   2182      0      0  89166  89167      0      -      -      0    894    530 
    0     97     72      -      0      0      0      0      0      0  13365   2272      0      0  89162  89163      0      -      -      0      0      0 
    1     87     71      -      0      0      0      0      0      0  13365   2272      0      0  89164  89165      0      -      -      0      0      2 
    2     85     72      -      0      0      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      0 
    3     82     68      -      0      0      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     44     68      -      0      0      0      0      0      0    810    360      0      0  89162  89163      0      -      -      0      0      1 
    1     70     68      -      0      0      0      0      0      0    810    487      0      0  89164  89165      0      -      -      0      0      0 
    2     83     70      -      0      0      0      0      0      0    810   2272      0      0  89166  89167      0      -      -      0      0      0 
    3     67     65      -      0      0      0      0      0      0    810    442      0      0  89166  89167      0      -      -      0      0      0 
    0     94     68      -      0      0      0      0      0      0  13365   2317      0      0  89162  89163      0      -      -      0      0      1 
    1     84     66      -      0      0      0      0      0      0  13365   2287      0      0  89164  89165      0      -      -      0      0      0 
    2     84     69      -      0      0      0      0      0      0  13365   2317      0      0  89166  89167      0      -      -      0      0      0 
    3     81     64      -      0      0      0      0      0      0  13365   2302      0      0  89166  89167      0      -      -      0      0      2 
    0    226     71      -     98     37      0      0      0      0  13365   2280      0      0  89162  89163      0      -      -      0      0      2 
    1    206     69      -     98     44      0      0      0      0  13365   2265      0      0  89164  89165      0      -      -      0   8869  12027 
    2    210     71      -     98     43      0      0      0      0  13365   2280      0      0  89166  89167      0      -      -      0   9954  12572 
    3    205     67      -     98     42      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0  10457  12799 
    0    231     74      -     98     37      0      0      0      0  13365   2280      0      0  89162  89163      0      -      -      0    805    512 
    1    198     72      -     98     44      0      0      0      0  13365   2265      0      0  89164  89165      0      -      -      0    966    533 
    2    214     74      -     98     43      0      0      0      0  13365   2280      0      0  89166  89167      0      -      -      0    796    509 
    3    208     69      -     98     42      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0    900    528 
    0    198     75      -    100     19      0      0      0      0  13365   2152      0      0  89162  89163      0      -      -      0  15539  16935 
    1    185     73      -    100     18      0      0      0      0  13365   2145      0      0  89164  89165      0      -      -      0   9849  16189 
    2    187     76      -    100     18      0      0      0      0  13365   2160      0      0  89166  89167      0      -      -      0   9381  11620 
    3    186     71      -    100     18      0      0      0      0  13365   2160      0      0  89166  89167      0      -      -      0   9854  12099 
    0    118     74      -      0      0      0      0      0      0  13365   2332      0      0  89162  89163      0      -      -      0      0      0 
    1    102     72      -      0      0      0      0      0      0  13365   2302      0      0  89164  89165      0      -      -      0      0      0 
    2    111     74      -      0      0      0      0      0      0  13365   2317      0      0  89166  89167      0      -      -      0      0      0 
    3    106     70      -      0      0      0      0      0      0  13365   2317      0      0  89166  89167      0      -      -      0      0      2 
    0    103     73      -      0      0      0      0      0      0  13365   2332      0      0  89162  89163      0      -      -      0      0      2 
    1    111     72      -      0      0      0      0      0      0  13365   2302      0      0  89164  89165      0      -      -      0      0      0 
    2    109     74      -      0      0      0      0      0      0  13365   2317      0      0  89166  89167      0      -      -      0      0      1 
    3     92     69      -      0      0      0      0      0      0  13365   2317      0      0  89166  89167      0      -      -      0      0      0 
    0    112     72      -      0      0      0      0      0      0  13365   2332      0      0  89162  89163      0      -      -      0      0      0 
    1    106     70      -      0      0      0      0      0      0  13365   2302      0      0  89164  89165      0      -      -      0      0      2 
    2     86     72      -      0      0      0      0      0      0  13365   2317      0      0  89166  89167      0      -      -      0      0      0 
    3     83     68      -      0      0      0      0      0      0  13365   2317      0      0  89166  89167      0      -      -      0      0      0 
    0     94     70      -      0      0      0      0      0      0  13365   2272      0      0  89162  89163      0      -      -      0      0      0 
    1     85     68      -      0      0      0      0      0      0  13365   2272      0      0  89164  89165      0      -      -      0      0      0 
    2     83     70      -      0      0      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      0 
    3     80     66      -      0      0      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      0 
    0    232     75      -     98     37      0      0      0      0  13365   2280      0      0  89162  89163      0      -      -      0    909    530 
    1    213     73      -     98     45      0      0      0      0  13365   2265      0      0  89164  89165      0      -      -      0    871    540 
    2    218     75      -     98     43      0      0      0      0  13365   2280      0      0  89166  89167      0      -      -      0    771    508 
    3    211     70      -     98     43      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0    894    547 
    0    236     77      -     98     37      0      0      0      0  13365   2287      0      0  89162  89163      0      -      -      0    831    524 
    1    216     76      -     98     45      0      0      0      0  13365   2265      0      0  89164  89165      0      -      -      0    958    554 
    2    223     77      -     98     43      0      0      0      0  13365   2280      0      0  89166  89167      0      -      -      0    742    513 
    3    214     73      -     98     42      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0    913    531 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0    126     75      -      0      0      0      0      0      0  13365   2332      0      0  89162  89163      0      -      -      0      0      1 
    1    108     74      -      0      0      0      0      0      0  13365   2302      0      0  89164  89165      0      -      -      0      0      0 
    2    105     76      -      0      0      0      0      0      0  13365   2317      0      0  89166  89167      0      -      -      0      0      2 
    3     89     71      -      0      0      0      0      0      0  13365   2317      0      0  89166  89167      0      -      -      0      0      0 
    0     96     72      -      0      0      0      0      0      0  13365   2272      0      0  89162  89163      0      -      -      0      0      0 
    1     87     71      -      0      0      0      0      0      0  13365   2272      0      0  89164  89165      0      -      -      0      0      2 
    2     85     73      -      0      0      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      0 
    3     82     68      -      0      0      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      0 
    0    109     71      -      0      0      0      0      0      0  13365   2332      0      0  89162  89163      0      -      -      0      0      0 
    1    104     69      -      0      0      0      0      0      0  13365   2302      0      0  89164  89165      0      -      -      0      0      0 
    2    102     71      -      0      0      0      0      0      0  13365   2317      0      0  89166  89167      0      -      -      0      0      0 
    3     95     67      -      0      0      0      0      0      0  13365   2317      0      0  89166  89167      0      -      -      0      0      2 
    0     93     69      -      0      0      0      0      0      0  13365   2272      0      0  89162  89163      0      -      -      0      0      0 
    1     84     68      -      0      0      0      0      0      0  13365   2272      0      0  89164  89165      0      -      -      0      0      1 
    2     83     70      -      0      0      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      0 
    3     80     65      -      0      0      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      0 
    0     20     65      -      0      0      0      0      0      0    405    180      0      0  89162  89163      0      -      -      0      0      0 
    1     18     64      -      0      0      0      0      0      0    405    180      0      0  89164  89165      0      -      -      0      0      0 
    2     15     66      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      2 
    3     13     61      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    0     18     62      -      0      0      0      0      0      0    405    180      0      0  89162  89163      0      -      -      0      0      0 
    1     17     61      -      0      0      0      0      0      0    405    180      0      0  89164  89165      0      -      -      0      0      0 
    2     13     63      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    3     13     59      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    0     17     60      -      0      0      0      0      0      0    405    180      0      0  89162  89163      0      -      -      0      0      0 
    1     17     59      -      0      0      0      0      0      0    405    180      0      0  89164  89165      0      -      -      0      0      0 
    2     12     61      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    3     12     57      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      3 
    0     18     59      -      0      0      0      0      0      0    405    180      0      0  89162  89163      0      -      -      0      0      2 
    1     17     58      -      0      0      0      0      0      0    405    180      0      0  89164  89165      0      -      -      0      0      0 
    2     11     60      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    3     11     55      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    0    114     60      -      0      0      0      0      0      0  13365   2332      0      0  89162  89163      0      -      -      0      0      0 
    1     88     59      -      0      0      0      0      0      0  13365   2295      0      0  89164  89165      0      -      -      0      0      2 
    2     87     61      -      0      0      0      0      0      0  13365   2317      0      0  89166  89167      0      -      -      0      0      0 
    3     94     57      -      0      0      0      0      0      0  13365   2317      0      0  89166  89167      0      -      -      0      0      0 
    0     81     60      -      0      0      0      0      0      0  13365   2272      0      0  89162  89163      0      -      -      0      0      0 
    1     73     59      -      0      0      0      0      0      0  13365   2272      0      0  89164  89165      0      -      -      0      0      0 
    2     71     61      -      0      0      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      0 
    3     73     57      -      0      0      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      0 
    0     17     58      -      0      0      0      0      0      0    405    180      0      0  89162  89163      0      -      -      0      0      0 
    1     17     57      -      0      0      0      0      0      0    405    180      0      0  89164  89165      0      -      -      0      0      0 
    2     12     59      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    3     10     55      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      2 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     16     57      -      0      0      0      0      0      0    405    180      0      0  89162  89163      0      -      -      0      0      2 
    1     16     56      -      0      0      0      0      0      0    405    180      0      0  89164  89165      0      -      -      0      0      0 
    2     11     58      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      2 
    3      9     53      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    0     16     56      -      0      0      0      0      0      0    405    180      0      0  89162  89163      0      -      -      0      0      0 
    1     15     55      -      0      0      0      0      0      0    405    180      0      0  89164  89165      0      -      -      0      0      2 
    2     11     56      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    3      9     52      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    0    176     61      -     98     38      0      0      0      0  13365   2280      0      0  89162  89163      0      -      -      0    778    522 
    1    167     60      -     98     46      0      0      0      0  13365   2257      0      0  89164  89165      0      -      -      0    933    534 
    2    200     61      -     98     44      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0    792    516 
    3    196     57      -     98     43      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0    897    539 
    0    180     62      -      0      0      0      0      0      0  13365   2332      0      0  89162  89163      0      -      -      0      0      0 
    1    159     61      -      0      0      0      0      0      0  13365   2295      0      0  89164  89165      0      -      -      0      0      0 
    2    199     65      -     98     43      0      0      0      0  13365   2280      0      0  89166  89167      0      -      -      0      0      0 
    3    187     59      -     98     42      0      0      0      0  13365   2265      0      0  89166  89167      0      -      -      0      0      2 
    0    211     65      -     98     38      0      0      0      0  13365   2280      0      0  89162  89163      0      -      -      0    835    515 
    1    196     64      -     98     45      0      0      0      0  13365   2265      0      0  89164  89165      0      -      -      0   1000    549 
    2    200     65      -     98     44      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0    785    522 
    3    199     61      -     98     43      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0    913    524 
    0    224     69      -     98     38      0      0      0      0  13365   2287      0      0  89162  89163      0      -      -      0    826    544 
    1    207     68      -     98     46      0      0      0      0  13365   2272      0      0  89164  89165      0      -      -      0    950    557 
    2    212     69      -     98     44      0      0      0      0  13365   2280      0      0  89166  89167      0      -      -      0    772    506 
    3    206     65      -     98     43      0      0      0      0  13365   2280      0      0  89166  89167      0      -      -      0    872    527 
    0     88     65      -      0      0      0      0      0      0  13365   2272      0      0  89162  89163      0      -      -      0      0      0 
    1     80     64      -      0      0      0      0      0      0  13365   2272      0      0  89164  89165      0      -      -      0      0      0 
    2     77     66      -      0      0      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      0 
    3     77     62      -      0      0      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      0 
    0    158     69      -     40     16      0      0      0      0  13365   2332      0      0  89162  89163      0      -      -      0  11530  14113 
    1    145     68      -      0      0      0      0      0      0  13365   2302      0      0  89164  89165      0      -      -      0  11321  13401 
    2    133     69      -      0      0      0      0      0      0  13365   2317      0      0  89166  89167      0      -      -      0  10793  13581 
    3    109     67      -      0      0      0      0      0      0  13365   2317      0      0  89166  89167      0      -      -      0   9537    532 
    0     92     68      -      0      0      0      0      0      0  13365   2272      0      0  89162  89163      0      -      -      0      0      0 
    1     83     67      -      0      0      0      0      0      0  13365   2272      0      0  89164  89165      0      -      -      0      0      1 
    2     82     68      -      0      0      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      0 
    3     79     64      -      0      0      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      2 
    0    220     72      -     98     37      0      0      0      0  13365   2265      0      0  89162  89163      0      -      -      0   1156    826 
    1    207     71      -     98     45      0      0      0      0  13365   2257      0      0  89164  89165      0      -      -      0   1430    572 
    2    207     72      -     98     43      0      0      0      0  13365   2265      0      0  89166  89167      0      -      -      0    784    512 
    3    205     68      -     98     42      0      0      0      0  13365   2265      0      0  89166  89167      0      -      -      0    897    520 
    0    235     75      -     98     38      0      0      0      0  13365   2287      0      0  89162  89163      0      -      -      0    943    540 
    1    217     73      -     98     46      0      0      0      0  13365   2272      0      0  89164  89165      0      -      -      0    937    548 
    2    221     75      -     98     45      0      0      0      0  13365   2280      0      0  89166  89167      0      -      -      0    778    511 
    3    214     70      -     98     43      0      0      0      0  13365   2280      0      0  89166  89167      0      -      -      0    874    532 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0    177     77      -    100     15      0      0      0      0  13365   2137      0      0  89162  89163      0      -      -      0    778    496 
    1    163     75      -    100     16      0      0      0      0  13365   2190      0      0  89164  89165      0      -      -      0    853    525 
    2    135     76      -    100     15      0      0      0      0  13365   2152      0      0  89166  89167      0      -      -      0    779    494 
    3    139     72      -    100     16      0      0      0      0  13365   2160      0      0  89166  89167      0      -      -      0    813    523 
    0    237     78      -     98     36      0      0      0      0  13365   2287      0      0  89162  89163      0      -      -      0    802    496 
    1    217     77      -     98     44      0      0      0      0  13365   2272      0      0  89164  89165      0      -      -      0    880    535 
    2    222     78      -     98     42      0      0      0      0  13365   2280      0      0  89166  89167      0      -      -      0    696    481 
    3    215     74      -     98     41      0      0      0      0  13365   2280      0      0  89166  89167      0      -      -      0    833    489 
    0    239     80      -     98     36      0      0      0      0  13365   2280      0      0  89162  89163      0      -      -      0    810    515 
    1    219     78      -     98     44      0      0      0      0  13365   2272      0      0  89164  89165      0      -      -      0    963    521 
    2    225     80      -     98     42      0      0      0      0  13365   2280      0      0  89166  89167      0      -      -      0    734    484 
    3    217     75      -     98     41      0      0      0      0  13365   2280      0      0  89166  89167      0      -      -      0    876    519 
    0     99     76      -      0      0      0      0      0      0  13365   2272      0      0  89162  89163      0      -      -      0      0      1 
    1     90     74      -      0      0      0      0      0      0  13365   2272      0      0  89164  89165      0      -      -      0      0      0 
    2     87     76      -      0      0      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      2 
    3     85     71      -      0      0      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      0 
    0    231     78      -     98     35      0      0      0      0  13365   2272      0      0  89162  89163      0      -      -      0   1018    751 
    1    213     76      -     99     42      0      0      0      0  13365   2257      0      0  89164  89165      0      -      -      0   1448    848 
    2    214     78      -     99     41      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0   1116    519 
    3    208     73      -     99     40      0      0      0      0  13365   2265      0      0  89166  89167      0      -      -      0    839    496 
    0     98     73      -      0      0      0      0      0      0  13365   2272      0      0  89162  89163      0      -      -      0      0      0 
    1     88     72      -      0      0      0      0      0      0  13365   2272      0      0  89164  89165      0      -      -      0      0      0 
    2     86     74      -      0      0      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      0 
    3     83     69      -      0      0      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      0 
    0     95     71      -      0      0      0      0      0      0  13365   2272      0      0  89162  89163      0      -      -      0      0      0 
    1     77     69      -      0      0      0      0      0      0    810    727      0      0  89164  89165      0      -      -      0      0      0 
    2     84     71      -      0      0      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      0 
    3     68     66      -      0      0      0      0      0      0    810    540      0      0  89166  89167      0      -      -      0      0      0 
    0     21     66      -      0      0      0      0      0      0    405    180      0      0  89162  89163      0      -      -      0      0      0 
    1     19     65      -      0      0      0      0      0      0    405    180      0      0  89164  89165      0      -      -      0      0      0 
    2     16     66      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    3     14     62      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      2 
    0     19     63      -      0      0      0      0      0      0    405    180      0      0  89162  89163      0      -      -      0      0      0 
    1     18     62      -      0      0      0      0      0      0    405    180      0      0  89164  89165      0      -      -      0      0      2 
    2     14     64      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      2 
    3     14     60      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    0     18     61      -      0      0      0      0      0      0    405    180      0      0  89162  89163      0      -      -      0      0      0 
    1     16     60      -      0      0      0      0      0      0    405    180      0      0  89164  89165      0      -      -      0      0      0 
    2     13     62      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    3     13     58      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    0     18     59      -      0      0      0      0      0      0    405    180      0      0  89162  89163      0      -      -      0    830    527 
    1     23     61      -     92     33      0      0      0      0  13365    600      0      0  89164  89165      0      -      -      0    950    560 
    2     28     63      -     98     42      0      0      0      0  13365   1515      0      0  89166  89167      0      -      -      0    795    516 
    3     32     59      -     98     42      0      0      0      0  13365    562      0      0  89166  89167      0      -      -      0    863    554 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     83     61      -      0      0      0      0      0      0  13365   2272      0      0  89162  89163      0      -      -      0      0      2 
    1     75     60      -      0      0      0      0      0      0  13365   2272      0      0  89164  89165      0      -      -      0      0      0 
    2     71     62      -      0      0      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      2 
    3     74     58      -      0      0      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      1 
    0     21     59      -      0      0      0      0      0      0    405    195      0      0  89162  89163      0      -      -      0      0      0 
    1     22     59      -      0      0      0      0      0      0    405    180      0      0  89164  89165      0      -      -      0      0      2 
    2     19     60      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    3     12     56      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    0     17     58      -      0      0      0      0      0      0    405    180      0      0  89162  89163      0      -      -      0      0      0 
    1     16     57      -      0      0      0      0      0      0    405    180      0      0  89164  89165      0      -      -      0      0      0 
    2     12     59      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    3     10     55      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    0     17     57      -      0      0      0      0      0      0    405    180      0      0  89162  89163      0      -      -      0      0      0 
    1     16     56      -      0      0      0      0      0      0    405    180      0      0  89164  89165      0      -      -      0      0      0 
    2     11     58      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    3      9     53      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      2 
    0     16     55      -      0      0      0      0      0      0    405    180      0      0  89162  89163      0      -      -      0      0      2 
    1     16     55      -      0      0      0      0      0      0    405    180      0      0  89164  89165      0      -      -      0      0      0 
    2     10     57      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      2 
    3      9     52      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    0     16     54      -      0      0      0      0      0      0    405    180      0      0  89162  89163      0      -      -      0    759    510 
    1     23     56      -      0      0      0      0      0      0  13365    457      0      0  89164  89165      0      -      -      0    865    539 
    2     10     56      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0    770    507 
    3      8     51      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0    800    529 
    0     78     57      -      0      0      0      0      0      0  13365   2272      0      0  89162  89163      0      -      -      0      0      0 
    1     71     57      -      0      0      0      0      0      0  13365   2272      0      0  89164  89165      0      -      -      0      0      0 
    2     68     58      -      0      0      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      0 
    3     72     54      -      0      0      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      0 
    0     79     58      -      0      0      0      0      0      0    810   2272      0      0  89162  89163      0      -      -      0      0      0 
    1     39     56      -      0      0      0      0      0      0    810    247      0      0  89164  89165      0      -      -      0      0      0 
    2     22     57      -      0      0      0      0      0      0    810    307      0      0  89166  89167      0      -      -      0      0      0 
    3     19     53      -      0      0      0      0      0      0    810    240      0      0  89166  89167      0      -      -      0      0      0 
    0     16     55      -      0      0      0      0      0      0    405    180      0      0  89162  89163      0      -      -      0      0      2 
    1     15     54      -      0      0      0      0      0      0    405    180      0      0  89164  89165      0      -      -      0      0      0 
